Season,DayNum,WTeamID,Wscore,LTeamID,Lscore,ConfAbbrev
2001,121,1194,2,1144,1,a_sun
2001,121,1416,2,1240,1,a_sun
2001,122,1209,2,1194,1,a_sun
2001,122,1359,2,1239,1,a_sun
2001,122,1391,2,1273,1,a_sun
2001,122,1407,2,1416,1,a_sun
2001,123,1209,2,1359,1,a_sun
2001,123,1407,2,1391,1,a_sun
2001,124,1209,2,1407,1,a_sun
2001,128,1173,2,1348,1,a_ten
2001,128,1203,2,1182,1,a_ten
2001,128,1247,2,1200,1,a_ten
2001,129,1203,2,1462,1,a_ten
2001,129,1269,2,1382,1,a_ten
2001,129,1386,2,1247,1,a_ten
2001,129,1396,2,1173,1,a_ten
2001,130,1269,2,1386,1,a_ten
2001,130,1396,2,1203,1,a_ten
2001,131,1396,2,1269,1,a_ten
2001,129,1155,2,1199,1,acc
2001,130,1181,2,1301,1,acc
2001,130,1210,2,1438,1,acc
2001,130,1268,2,1448,1,acc
2001,130,1314,2,1155,1,acc
2001,131,1181,2,1268,1,acc
2001,131,1314,2,1210,1,acc
2001,132,1181,2,1314,1,acc
2001,123,1406,2,1216,1,aec
2001,123,1436,2,1306,1,aec
2001,124,1174,2,1406,1,aec
2001,124,1220,2,1436,1,aec
2001,124,1263,2,1131,1,aec
2001,124,1318,2,1180,1,aec
2001,125,1174,2,1318,1,aec
2001,125,1220,2,1263,1,aec
2001,131,1220,2,1174,1,aec
2001,128,1338,2,1274,1,big_east
2001,128,1371,2,1385,1,big_east
2001,128,1393,2,1163,1,big_east
2001,128,1437,2,1452,1,big_east
2001,129,1130,2,1437,1,big_east
2001,129,1338,2,1323,1,big_east
2001,129,1371,2,1207,1,big_east
2001,129,1393,2,1344,1,big_east
2001,130,1130,2,1371,1,big_east
2001,130,1338,2,1393,1,big_east
2001,131,1130,2,1338,1,big_east
2001,129,1319,2,1286,1,big_sky
2001,129,1451,2,1226,1,big_sky
2001,130,1169,2,1451,1,big_sky
2001,130,1186,2,1319,1,big_sky
2001,131,1169,2,1186,1,big_sky
2001,122,1149,2,1157,1,big_south
2001,122,1251,2,1421,1,big_south
2001,123,1347,2,1149,1,big_south
2001,123,1457,2,1251,1,big_south
2001,124,1457,2,1347,1,big_south
2001,129,1234,2,1321,1,big_ten
2001,129,1336,2,1276,1,big_ten
2001,129,1345,2,1278,1,big_ten
2001,130,1228,2,1345,1,big_ten
2001,130,1231,2,1458,1,big_ten
2001,130,1234,2,1326,1,big_ten
2001,130,1336,2,1277,1,big_ten
2001,131,1231,2,1228,1,big_ten
2001,131,1234,2,1336,1,big_ten
2001,132,1234,2,1231,1,big_ten
2001,129,1124,2,1160,1,big_twelve
2001,129,1243,2,1304,1,big_twelve
2001,129,1281,2,1401,1,big_twelve
2001,129,1329,2,1403,1,big_twelve
2001,130,1124,2,1235,1,big_twelve
2001,130,1242,2,1243,1,big_twelve
2001,130,1328,2,1281,1,big_twelve
2001,130,1400,2,1329,1,big_twelve
2001,131,1328,2,1242,1,big_twelve
2001,131,1400,2,1124,1,big_twelve
2001,132,1328,2,1400,1,big_twelve
2001,129,1129,2,1253,1,big_west
2001,129,1334,2,1364,1,big_west
2001,129,1414,2,1142,1,big_west
2001,129,1429,2,1168,1,big_west
2001,130,1334,2,1414,1,big_west
2001,130,1429,2,1129,1,big_west
2001,131,1429,2,1334,1,big_west
2001,124,1241,2,1433,1,caa
2001,124,1330,2,1456,1,caa
2001,125,1206,2,1241,1,caa
2001,125,1423,2,1330,1,caa
2001,126,1206,2,1423,1,caa
2001,128,1266,2,1408,1,cusa
2001,128,1378,2,1177,1,cusa
2001,128,1387,2,1222,1,cusa
2001,128,1412,2,1257,1,cusa
2001,129,1150,2,1378,1,cusa
2001,129,1153,2,1412,1,cusa
2001,129,1272,2,1266,1,cusa
2001,129,1379,2,1387,1,cusa
2001,130,1150,2,1379,1,cusa
2001,130,1153,2,1272,1,cusa
2001,131,1150,2,1153,1,cusa
2001,123,1145,2,1389,1,maac
2001,123,1259,2,1193,1,maac
2001,124,1145,2,1310,1,maac
2001,124,1233,2,1259,1,maac
2001,124,1265,2,1351,1,maac
2001,124,1373,2,1264,1,maac
2001,125,1145,2,1373,1,maac
2001,125,1233,2,1265,1,maac
2001,126,1233,2,1145,1,maac
2001,126,1123,2,1296,1,mac
2001,126,1132,2,1444,1,mac
2001,126,1275,2,1103,1,mac
2001,126,1325,2,1138,1,mac
2001,126,1405,2,1185,1,mac
2001,129,1123,2,1267,1,mac
2001,129,1245,2,1132,1,mac
2001,129,1275,2,1141,1,mac
2001,129,1325,2,1405,1,mac
2001,130,1245,2,1123,1,mac
2001,130,1275,2,1325,1,mac
2001,131,1245,2,1275,1,mac
2001,126,1288,2,1271,1,meac
2001,126,1299,2,1197,1,meac
2001,127,1126,2,1224,1,meac
2001,128,1214,2,1288,1,meac
2001,128,1354,2,1126,1,meac
2001,129,1299,2,1175,1,meac
2001,129,1313,2,1164,1,meac
